"first_name,""last_name"",""email"""
"Funke,""Ibrahim"",""funke.ibrahim@gmail.com"""
"Lanre,""Ibrahim"",""lanre.ibrahim@gmail.com"""
"Bilkisu,""Ihejirika"",""bilkisu.ihejirika@yahoo.com"""
"Adaeze,""Lawal"",""adaeze.lawal@gmail.com"""
"Gift,""Lawal"",""gift.lawal@yahoo.com"""
"Gift,""Magaji"",""gift.magaji@gmail.com"""
"Onyinye,""Magaji"",""onyinye.magaji@icloud.com"""
"Shehu,""Magaji"",""shehu.magaji@yahoo.com"""
"Sola,""Magaji"",""sola.magaji@outlook.com"""
"Adeyinka,""Martins"",""adeyinka.martins@yahoo.com"""
"Bayo,""Martins"",""bayo.martins@gmail.com"""
"Chukwuemeka,""Mbah"",""chukwuemeka.mbah@gmail.com"""
"Bashir,""Mensah"",""bashir.mensah@gmail.com"""
"Chukwudi,""Muhammad"",""chukwudi.muhammad@gmail.com"""
"Ike,""Muhammad"",""ike.muhammad@outlook.com"""
"Ikechukwu,""Musa"",""ikechukwu.musa@yahoo.com"""
"Dayo,""Nwachukwu"",""dayo.nwachukwu@outlook.com"""
"Tobi,""Nwachukwu"",""tobi.nwachukwu@yahoo.com"""
"Emmanuel,""Nweze"",""emmanuel.nweze@outlook.com"""
"Michael,""Nweze"",""michael.nweze@gmail.com"""
"Stella,""Nweze"",""stella.nweze@yahoo.com"""
"Femi,""Nwosu"",""femi.nwosu@outlook.com"""
"Josephine,""Nwosu"",""josephine.nwosu@yahoo.com"""
"Abubakar,""Obi"",""abubakar.obi@gmail.com"""
"Agnes,""Obiora"",""agnes.obiora@gmail.com"""
"Joshua,""Obiora"",""joshua.obiora@yahoo.com"""
"Ngozi,""Obiora"",""ngozi.obiora@yahoo.com"""
"Garba,""Ofor"",""garba.ofor@gmail.com"""
"Kemi,""Ogundimu"",""kemi.ogundimu@outlook.com"""
"Chiamaka,""Okafor"",""chiamaka.okafor@gmail.com"""
"Nnamdi,""Okafor"",""nnamdi.okafor@yahoo.com"""
"Ogochukwu,""Okeke"",""ogochukwu.okeke@hotmail.com"""
"Grace,""Okereke"",""grace.okereke@gmail.com"""
"Ike,""Okoro"",""ike.okoro@hotmail.com"""
"Lola,""Okoro"",""lola.okoro@live.com"""
"Ada,""Okpara"",""ada.okpara@icloud.com"""
"Hope,""Okpara"",""hope.okpara@yahoo.com"""
"Nneka,""Okpara"",""nneka.okpara@yahoo.com"""
"Chinwe,""Olatunde"",""chinwe.olatunde@gmail.com"""
"Precious,""Olatunde"",""precious.olatunde@gmail.com"""
"Uche,""Olatunde"",""uche.olatunde@yahoo.com"""
"Uloma,""Olatunde"",""uloma.olatunde@gmail.com"""
"Yusuf,""Olatunde"",""yusuf.olatunde@live.com"""
"Bassey,""Olusanya"",""bassey.olusanya@hotmail.com"""
"Jumoke,""Oluwole"",""jumoke.oluwole@icloud.com"""
"Lanre,""Oluwole"",""lanre.oluwole@outlook.com"""
"Nneka,""Oluwole"",""nneka.oluwole@gmail.com"""
"Chinwe,""Onuoha"",""chinwe.onuoha@gmail.com"""
"Hauwa,""Onyekachi"",""hauwa.onyekachi@outlook.com"""
"Kemi,""Onyekachi"",""kemi.onyekachi@gmail.com"""
"Folake,""Onyia"",""folake.onyia@live.com"""
"Joy,""Onyia"",""joy.onyia@gmail.com"""
"Monday,""Onyia"",""monday.onyia@gmail.com"""
"Olabisi,""Onyia"",""olabisi.onyia@gmail.com"""
"Rotimi,""Onyia"",""rotimi.onyia@gmail.com"""
"Babatunde,""Opoku"",""babatunde.opoku@gmail.com"""
"Bisi,""Orji"",""bisi.orji@outlook.com"""
"Olamide,""Orji"",""olamide.orji@gmail.com"""
"Peace,""Orji"",""peace.orji@gmail.com"""
"Edet,""Osei"",""edet.osei@gmail.com"""
"Mercy,""Osita"",""mercy.osita@gmail.com"""
"Chinedu,""Otieno"",""chinedu.otieno@outlook.com"""
"Obinna,""Otieno"",""obinna.otieno@gmail.com"""
"Bassey,""Owusu"",""bassey.owusu@outlook.com"""
"Garba,""Owusu"",""garba.owusu@icloud.com"""
"Ibrahim,""Owusu"",""ibrahim.owusu@yahoo.com"""
"Okechukwu,""Owusu"",""okechukwu.owusu@outlook.com"""
"Abimbola,""Rabiu"",""abimbola.rabiu@gmail.com"""
"Faith,""Rabiu"",""faith.rabiu@hotmail.com"""
"Obiora,""Rabiu"",""obiora.rabiu@gmail.com"""
"Adewunmi,""Shehu"",""adewunmi.shehu@outlook.com"""
"Joy,""Shehu"",""joy.shehu@gmail.com"""
"Mercy,""Shehu"",""mercy.shehu@icloud.com"""
"Olamide,""Sowemimo"",""olamide.sowemimo@outlook.com"""
"Temidayo,""Sowemimo"",""temidayo.sowemimo@gmail.com"""
"Tobi,""Sowemimo"",""tobi.sowemimo@yahoo.com"""
"Bassey,""Suleiman"",""bassey.suleiman@gmail.com"""
"Abubakar,""Sunmola"",""abubakar.sunmola@gmail.com"""
"Garba,""Sunmola"",""garba.sunmola@yahoo.com"""
"Ibrahim,""Sunmola"",""ibrahim.sunmola@yahoo.com"""
"Obinna,""Sunmola"",""obinna.sunmola@outlook.com"""
"Ibrahim,""Tanko"",""ibrahim.tanko@gmail.com"""
"Oluwaseun,""Tanko"",""oluwaseun.tanko@gmail.com"""
"Adewale,""Ugwu"",""adewale.ugwu@outlook.com"""
"Aisha,""Usman"",""aisha.usman@gmail.com"""
"Gbenga,""Usman"",""gbenga.usman@gmail.com"""
"Ronke,""Usman"",""ronke.usman@gmail.com"""
"Favour,""Uzor"",""favour.uzor@outlook.com"""
"Ikechukwu,""Uzor"",""ikechukwu.uzor@yahoo.com"""
"Yusuf,""Uzor"",""yusuf.uzor@gmail.com"""
